[08/06/2022 23:26:43 - INFO] Discord Presence activated
[08/06/2022 23:26:43 - INFO] Creating discord-rpc client
[08/06/2022 23:26:43 - ERROR] Encountered following error while trying to login:
Error: Could not connect
[08/06/2022 23:26:43 - DEBUG] Loading git extension
[08/06/2022 23:26:43 - TRACE] Git extension not activated, activating...
[08/06/2022 23:36:46 - INFO] Disable: Cleaning up old listeners
[08/06/2022 23:36:46 - INFO] Disable: Destroyed the rpc instance
[08/06/2022 23:36:46 - INFO] Enable: Cleaning up old listeners
[08/06/2022 23:36:46 - INFO] Enable: Attempting to recreate login
[08/06/2022 23:36:46 - INFO] Creating discord-rpc client
[08/06/2022 23:36:53 - INFO] Successfully connected to Discord
[08/06/2022 23:36:53 - TRACE] VSCode language id: ini
[08/06/2022 23:41:17 - TRACE] VSCode language id: ini
[08/06/2022 23:41:17 - TRACE] VSCode language id: ini
[08/06/2022 23:41:33 - TRACE] VSCode language id: ini
[08/06/2022 23:41:35 - TRACE] VSCode language id: ini
[08/06/2022 23:41:37 - TRACE] VSCode language id: ini
[08/06/2022 23:41:39 - TRACE] VSCode language id: ini
[08/06/2022 23:41:43 - TRACE] VSCode language id: ini
[08/06/2022 23:41:45 - TRACE] VSCode language id: ini
[08/06/2022 23:41:48 - TRACE] VSCode language id: ini
[08/06/2022 23:41:50 - TRACE] VSCode language id: ini
[08/06/2022 23:41:52 - TRACE] VSCode language id: ini
[08/06/2022 23:41:54 - TRACE] VSCode language id: ini
[08/06/2022 23:41:56 - TRACE] VSCode language id: ini
[08/06/2022 23:42:11 - TRACE] VSCode language id: ini
[08/06/2022 23:42:13 - TRACE] VSCode language id: ini
[08/06/2022 23:43:28 - TRACE] VSCode language id: ini
[08/06/2022 23:43:30 - TRACE] VSCode language id: ini
[08/06/2022 23:43:31 - TRACE] VSCode language id: ini
[08/06/2022 23:43:33 - TRACE] VSCode language id: ini
[08/06/2022 23:43:41 - TRACE] VSCode language id: ini
[08/06/2022 23:43:43 - TRACE] VSCode language id: ini
[08/06/2022 23:43:43 - TRACE] VSCode language id: ini
[08/06/2022 23:43:45 - TRACE] VSCode language id: ini
[08/06/2022 23:44:11 - TRACE] VSCode language id: ini
[08/06/2022 23:44:13 - TRACE] VSCode language id: ini
[08/06/2022 23:44:17 - TRACE] VSCode language id: ini
[08/06/2022 23:44:19 - TRACE] VSCode language id: ini
[08/06/2022 23:44:25 - TRACE] VSCode language id: ini
[08/06/2022 23:44:27 - TRACE] VSCode language id: ini
[08/06/2022 23:44:35 - TRACE] VSCode language id: ini
[08/06/2022 23:44:37 - TRACE] VSCode language id: ini
[08/06/2022 23:45:44 - TRACE] VSCode language id: ini
[08/06/2022 23:45:46 - TRACE] VSCode language id: ini
[08/06/2022 23:45:48 - TRACE] VSCode language id: ini
[08/06/2022 23:45:50 - TRACE] VSCode language id: ini
[08/06/2022 23:46:04 - TRACE] VSCode language id: ini
[08/06/2022 23:46:06 - TRACE] VSCode language id: ini
[08/06/2022 23:46:06 - TRACE] VSCode language id: ini
[08/06/2022 23:46:08 - TRACE] VSCode language id: ini
[08/06/2022 23:46:11 - TRACE] VSCode language id: ini
[08/06/2022 23:46:14 - TRACE] VSCode language id: ini
[08/06/2022 23:46:16 - TRACE] VSCode language id: ini
[08/06/2022 23:46:27 - TRACE] VSCode language id: ini
[08/06/2022 23:46:29 - TRACE] VSCode language id: ini
